id,name,short_description,price,list_price,discount,discount_rate,all_time_quantity_sold,inventory_status,stock_item_qty,stock_item_max_sale_qty,date
277728224,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ","Tuân Tử nói: “Nói năng hợp lý, đó gọi là hiểu biết; im lặng đúng lúc, đó cũng là hiểu biết”. Ngôn ngữ là thứ có thể thể hiện rõ nhất mức độ tu dưỡng của một người, nói năng hợp lý là một loại trí tuệ,...",127000,127000,0,0,8629.0,available,1000,1000,2025-04-14
277412034,Sách Song Ngữ Lời Thì Thầm Trong Tổ Ấm - Whispers In The Home - Chính Hãng + Mã File Nghe,"""Lời Thì Thầm Trong Tổ Ấm"" là một cuốn sách song ngữ Anh-Việt, giúp người đọc cải thiện kỹ năng tiếng Anh thông qua việc đọc song ngữ. Nội dung sách tập trung vào những câu chuyện gia đình, tình cảm ...",158000,158000,0,0,673.0,available,1000,1000,2025-04-14
277381902,Tiếng gọi chân trời - Nguyễn Ngọc Tư,"Những con người văng mình vào những cuộc đi-về, vào cuộc mất-còn của những chuẩn mực sống, những mối quan hệ ấm lạnh của cuộc đời khi mà giá trị vật chất lên ngôi. Vẫn phong cách quen thuộc: mộc mạc, ...",60000,95000,35000,37,316.0,available,1000,1000,2025-04-14
277361862,Kỹ thuật đặt câu lệnh cho ChatGPT,"Trong lịch sử công nghệ, hiếm có nền tảng nào đạt tốc độ phát triển nhanh chóng như ChatGPT khi trở thành nền tảng đầu tiên cán mốc 100 triệu người dùng trong thời gian ngắn nhất. Những con số này khô...",125000,179000,54000,30,122.0,available,1000,1000,2025-04-14
276960030,Khi Mọi Điều Không Như Ý,"Bạn đã bao giờ cảm thấy như cuộc sống liên tục thử thách bạn, khiến bạn phải không ngừng vật lộn để vượt qua những khó khăn và thất bại bất ngờ?Từ nỗi mất mát, đau khổ và cô đơn của những trải nghiệm...",80600,109000,28400,26,628.0,available,1000,1000,2025-04-14
276948798,"Lên Đỉnh Núi Mở Tiệm Bánh Mì - Triết lí Wazawaza: Những con người hạnh phúc, 2 loại bánh mì, và doanh thu thường niên 300 triệu Yên","Tôi cảm thấy trên đời này có rất nhiều thứ thật lấn cấn.Người ta cho rằng chuyện mở tiệm bán bánh mì phải chấp nhận làm lụng vất vả đầu tắt mặt tối, lấy số lượng bù cho biên lợi nhuận thấp là lẽ thư...",99000,120000,21000,18,1146.0,available,1000,1000,2025-04-14
276922095,Thế Hệ Lo Âu,"Ngành công nghệ không chỉ thay đổi cuộc sống của người lớn. Nó cũng bắt đầu thay đổi cuộc sống của trẻ em. Từ những năm 1950, thiếu nhi và thanh thiếu niên đã xem truyền hình rất nhiều, nhưng các công...",159400,229000,69600,30,469.0,available,1000,1000,2025-04-14
276823777,Tại sao các quốc gia thất bại,"Sử dụng lịch sử Đông-Tây kim-cổ đã diễn ra trên tất cả các châu lục của trái đất này, hai tác giả lập luận rằng những quốc gia thất bại là những đất nước bị cai trị bởi một nhóm quyền thế tập trung, v...",186000,310000,124000,40,349.0,available,1000,1000,2025-04-14
276346703,Combo 4 cuốn: ChatGPT + ChatGPT thực chiến + AI 5.0 + AI Công cụ nâng cao hiệu suất,"BỘ SÁCH GIÚP BẠN TRANG BỊ KIẾN THỨC VÀ KỸ NĂNG SỬ DỤNG CÁC CÔNG CỤ AI Trước sự phát triển mạnh mẽ của công nghệ và trí tuệ nhân tạo, việc có kiến thức và kỹ năng sử dụng các công cụ AI trở thành một...",608000,716000,108000,15,1.0,available,1000,1000,2025-04-14
276313958,Vẻ Đẹp Của Cảnh Sắc Tầm Thường,"Giới thiệu sách“Vẻ đẹp của cảnh sắc tầm thường - Hay vì sao chúng ta cần thay đổi cách thưởng thức thiên nhiên?” là tác phẩm mới nhất của tác giả Đặng Hoàng Giang. Trong 9 năm qua, tác giả Đặng Hoàng...",168000,235000,67000,29,881.0,available,1000,1000,2025-04-14
276159943,NEXUS - Lược Sử Của Những Mạng Lưới Thông Tin Từ Thời Đại Đồ Đá Đến Trí Tuệ Nhân Tạo,"Giới thiệu sáchYuval Noah Harari trở lại với cuốn sách mới đầy thú vị về cuộc hành trình của con người vào Kỷ nguyên thông tin, và những lựa chọn cấp bách mà chúng ta phải đưa ra để tồn tại - và phát...",232000,325000,93000,29,2215.0,available,1000,1000,2025-04-14
275948240,Same As Ever: Quy Luật Bất Biến Về Bản Chất Con Người Và Tâm Lý Làm Giàu,"Giới thiệu sáchCó câu nói rằng “Để biết được nơi bạn đang đi đến, bạn phải biết rõ nơi bạn đã từng ở”. Muốn có một tương lai chắc chắn, bạn phải hiểu rõ bản thân mình ở hiện tại và cần lập kế hoạch r...",152500,219000,66500,30,337.0,available,1000,1000,2025-04-14
